id,abbr,name,pop2012,pop2016
00000,US,United States,"313,998,379","323,127,513"
01000,AL,Alabama,"4,815,960","4,863,300"
01001,AL,Autauga County,"55,027","55,416"
01003,AL,Baldwin County,"190,403","208,563"
01005,AL,Barbour County,"27,132","25,965"
01007,AL,Bibb County,"22,645","22,643"
01009,AL,Blount County,"57,772","57,704"
01011,AL,Bullock County,"10,654","10,362"
01013,AL,Butler County,"20,665","19,998"
01015,AL,Calhoun County,"117,208","114,611"
01017,AL,Chambers County,"34,084","33,843"
01019,AL,Cherokee County,"26,017","25,725"
01021,AL,Chilton County,"43,693","43,941"
01023,AL,Choctaw County,"13,549","12,993"
01025,AL,Clarke County,"25,148","24,392"
01027,AL,Clay County,"13,461","13,492"
01029,AL,Cleburne County,"14,928","14,924"
01031,AL,Coffee County,"51,180","51,226"
01033,AL,Colbert County,"54,493","54,216"
01035,AL,Conecuh County,"13,007","12,395"
01037,AL,Coosa County,"11,201","10,581"
01039,AL,Covington County,"37,842","37,458"
01041,AL,Crenshaw County,"13,920","13,913"
01043,AL,Cullman County,"80,351","82,471"
01045,AL,Dale County,"50,296","49,226"
01047,AL,Dallas County,"42,748","40,008"
01049,AL,DeKalb County,"70,961","70,900"
01051,AL,Elmore County,"80,291","81,799"
01053,AL,Escambia County,"38,063","37,728"
01055,AL,Etowah County,"104,215","102,564"
01057,AL,Fayette County,"16,966","16,546"
01059,AL,Franklin County,"31,652","31,628"
01061,AL,Geneva County,"27,012","26,614"
01063,AL,Greene County,"8,837","8,422"
01065,AL,Hale County,"15,393","14,952"
01067,AL,Henry County,"17,237","17,164"
01069,AL,Houston County,"103,382","104,056"
01071,AL,Jackson County,"53,087","52,138"
01073,AL,Jefferson County,"657,639","659,521"
01075,AL,Lamar County,"14,257","13,918"
01077,AL,Lauderdale County,"92,694","92,318"
01079,AL,Lawrence County,"33,788","33,244"
01081,AL,Lee County,"148,289","158,991"
01083,AL,Limestone County,"87,368","92,753"
01085,AL,Lowndes County,"10,835","10,358"
01087,AL,Macon County,"20,632","18,963"
01089,AL,Madison County,"342,773","356,967"
01091,AL,Marengo County,"20,451","19,673"
01093,AL,Marion County,"30,520","29,998"
01095,AL,Marshall County,"94,182","95,157"
01097,AL,Mobile County,"413,760","414,836"
01099,AL,Monroe County,"22,593","21,530"
01101,AL,Montgomery County,"228,708","226,349"
01103,AL,Morgan County,"120,123","119,012"
01105,AL,Perry County,"10,184","9,574"
01107,AL,Pickens County,"19,359","20,324"
01109,AL,Pike County,"33,113","33,286"
01111,AL,Randolph County,"22,623","22,652"
01113,AL,Russell County,"57,626","58,172"
01115,AL,St. Clair County,"85,168","88,019"
01117,AL,Shelby County,"200,789","210,622"
01119,AL,Sumter County,"13,448","13,040"
01121,AL,Talladega County,"81,941","80,103"
01123,AL,Tallapoosa County,"41,144","40,727"
01125,AL,Tuscaloosa County,"198,581","206,102"
01127,AL,Walker County,"66,211","64,967"
01129,AL,Washington County,"17,115","16,756"
01131,AL,Wilcox County,"11,355","10,986"
01133,AL,Winston County,"24,171","23,805"
02000,AK,Alaska,"731,089","741,894"
02013,AK,Aleutians East Borough,"3,285","3,296"
02016,AK,Aleutians West Census Area,"5,688","5,647"
02020,AK,Anchorage Municipality,"298,527","298,192"
02050,AK,Bethel Census Area,"17,695","17,968"
02060,AK,Bristol Bay Borough,983,898
02068,AK,Denali Borough,"1,913","1,953"
02070,AK,Dillingham Census Area,"4,963","4,954"
02090,AK,Fairbanks North Star Borough,"100,330","100,605"
02100,AK,Haines Borough,"2,572","2,496"
02105,AK,Hoonah-Angoon Census Area,"2,131","2,078"
