id,abbr,name,votes
28001,MS,Adams County,13836
28003,MS,Alcorn County,14783
28005,MS,Amite County,7050
28007,MS,Attala County,8256
28009,MS,Benton County,4022
28011,MS,Bolivar County,13824
28013,MS,Calhoun County,6396
28015,MS,Carroll County,5528
28017,MS,Chickasaw County,7890
28019,MS,Choctaw County,4065
28021,MS,Claiborne County,4272
28023,MS,Clarke County,7791
28025,MS,Clay County,10003
28027,MS,Coahoma County,8912
28029,MS,Copiah County,12982
28031,MS,Covington County,8811
28033,MS,DeSoto County,66155
28035,MS,Forrest County,28064
28037,MS,Franklin County,4290
28039,MS,George County,9891
28041,MS,Greene County,5369
28043,MS,Grenada County,10513
28045,MS,Hancock County,17637
28047,MS,Harrison County,63313
28049,MS,Hinds County,95077
28051,MS,Holmes County,8076
28053,MS,Humphreys County,4253
28055,MS,Issaquena County,699
28057,MS,Itawamba County,9737
28059,MS,Jackson County,49567
28061,MS,Jasper County,8475
28063,MS,Jefferson County,3860
28065,MS,Jefferson Davis County,6237
28067,MS,Jones County,28352
28069,MS,Kemper County,4639
28071,MS,Lafayette County,19643
28073,MS,Lamar County,24592
28075,MS,Lauderdale County,29506
28077,MS,Lawrence County,6364
28079,MS,Leake County,8449
28081,MS,Lee County,32913
28083,MS,Leflore County,11140
28085,MS,Lincoln County,15193
28087,MS,Lowndes County,25695
28089,MS,Madison County,50131
28091,MS,Marion County,11693
28093,MS,Marshall County,14839
28095,MS,Monroe County,15884
28097,MS,Montgomery County,4996
28099,MS,Neshoba County,10553
28101,MS,Newton County,9438
28103,MS,Noxubee County,5574
28105,MS,Oktibbeha County,18124
28107,MS,Panola County,15064
28109,MS,Pearl River County,21883
28111,MS,Perry County,5432
28113,MS,Pike County,16360
28115,MS,Pontotoc County,12984
28117,MS,Prentiss County,9872
28119,MS,Quitman County,3365
28121,MS,Rankin County,63110
28123,MS,Scott County,10522
28125,MS,Sharkey County,2190
28127,MS,Simpson County,11419
28129,MS,Smith County,7627
28131,MS,Stone County,7045
28133,MS,Sunflower County,9598
28135,MS,Tallahatchie County,5870
28137,MS,Tate County,11627
28139,MS,Tippah County,9260
28141,MS,Tishomingo County,8371
28143,MS,Tunica County,3567
28145,MS,Union County,11496
28147,MS,Walthall County,6919
28149,MS,Warren County,19416
28151,MS,Washington County,16825
28153,MS,Wayne County,9599
28155,MS,Webster County,5069
28157,MS,Wilkinson County,4218
28159,MS,Winston County,8881
28161,MS,Yalobusha County,6077
28163,MS,Yazoo County,10070
01001,AL,Autauga County,24973
01003,AL,Baldwin County,95215
01005,AL,Barbour County,10469
01007,AL,Bibb County,8819
01009,AL,Blount County,25588
01011,AL,Bullock County,4710
01013,AL,Butler County,8732
01015,AL,Calhoun County,47864
01017,AL,Chambers County,13900
01019,AL,Cherokee County,10733
01021,AL,Chilton County,18369
01023,AL,Choctaw County,7292
01025,AL,Clarke County,13031
01027,AL,Clay County,6624
01029,AL,Cleburne County,6593
01031,AL,Coffee County,20767
01033,AL,Colbert County,24915
01035,AL,Conecuh County,6585
01037,AL,Coosa County,5252
01039,AL,Covington County,15940
01041,AL,Crenshaw County,6267
01043,AL,Cullman County,37873
01045,AL,Dale County,18749
01047,AL,Dallas County,18792
01049,AL,DeKalb County,25826
01051,AL,Elmore County,37260
01053,AL,Escambia County,14845
01055,AL,Etowah County,44164
01057,AL,Fayette County,8249
01059,AL,Franklin County,12040
01061,AL,Geneva County,11758
01063,AL,Greene County,4880
01065,AL,Hale County,8040
01067,AL,Henry County,8072
01069,AL,Houston County,42639
01071,AL,Jackson County,20984
01073,AL,Jefferson County,304191
01075,AL,Lamar County,6966
01077,AL,Lauderdale County,39525
01079,AL,Lawrence County,14829
01081,AL,Lee County,59191
01083,AL,Limestone County,40294
01085,AL,Lowndes County,6684
01087,AL,Macon County,9140
01089,AL,Madison County,163389
01091,AL,Marengo County,10994
01093,AL,Marion County,12984
01095,AL,Marshall County,35316
01097,AL,Mobile County,172737
01099,AL,Monroe County,10271
01101,AL,Montgomery County,95878
01103,AL,Morgan County,50644
01105,AL,Perry County,5278
01107,AL,Pickens County,9542
01109,AL,Pike County,13168
01111,AL,Randolph County,10187
01113,AL,Russell County,19256
01115,AL,St. Clair County,38400
01117,AL,Shelby County,101254
01119,AL,Sumter County,6411
01121,AL,Talladega County,33407
01123,AL,Tallapoosa County,19486
01125,AL,Tuscaloosa County,82700
01127,AL,Walker County,29472
01129,AL,Washington County,8533
01131,AL,Wilcox County,6123
01133,AL,Winston County,10313
30001,MT,Beaverhead County,4849
30003,MT,Big Horn County,4237
30005,MT,Blaine County,2684
30007,MT,Broadwater County,3133
30009,MT,Carbon County,5991
30011,MT,Carter County,786
30013,MT,Cascade County,34571
30015,MT,Chouteau County,2603
30017,MT,Custer County,5185
30019,MT,Daniels County,962
30021,MT,Dawson County,4409
30023,MT,Deer Lodge County,4206
30025,MT,Fallon County,1484
30027,MT,Fergus County,5840
30029,MT,Flathead County,47496
30031,MT,Gallatin County,53819
30033,MT,Garfield County,718
30035,MT,Glacier County,5075
30037,MT,Golden Valley County,474
30039,MT,Granite County,1777
30041,MT,Hill County,6445
30043,MT,Jefferson County,6714
30045,MT,Judith Basin County,1208
30047,MT,Lake County,13181
30049,MT,Lewis and Clark County,35296
30051,MT,Liberty County,961
30053,MT,Lincoln County,9330
30055,MT,McCone County,1095
30057,MT,Madison County,4743
30059,MT,Meagher County,977
30061,MT,Mineral County,2012
30063,MT,Missoula County,60722
30065,MT,Musselshell County,2441
30067,MT,Park County,9359
30069,MT,Petroleum County,322
30071,MT,Phillips County,2171
30073,MT,Pondera County,2723
30075,MT,Powder River County,1053
30077,MT,Powell County,2794
30079,MT,Prairie County,689
30081,MT,Ravalli County,22556
30083,MT,Richland County,4871
30085,MT,Roosevelt County,3652
30087,MT,Rosebud County,3453
30089,MT,Sanders County,5953
30091,MT,Sheridan County,1835
30093,MT,Silver Bow County,16452
30095,MT,Stillwater County,4873
30097,MT,Sweet Grass County,2107
30099,MT,Teton County,3188
30101,MT,Toole County,2037
30103,MT,Treasure County,443
30105,MT,Valley County,3894
30107,MT,Wheatland County,946
30109,MT,Wibaux County,541
30111,MT,Yellowstone County,70486
05001,AR,Arkansas County,6212
05003,AR,Ashley County,8083
05005,AR,Baxter County,19766
05007,AR,Benton County,96824
05009,AR,Boone County,16111
05011,AR,Bradley County,3653
05013,AR,Calhoun County,2269
05015,AR,Carroll County,10758
05017,AR,Chicot County,4176
05019,AR,Clark County,8526
05021,AR,Clay County,5200
05023,AR,Cleburne County,12085
05025,AR,Cleveland County,3354
05027,AR,Columbia County,8887
05029,AR,Conway County,7927
05031,AR,Craighead County,35573
05033,AR,Crawford County,22450
05035,AR,Crittenden County,15952
05037,AR,Cross County,6874
05039,AR,Dallas County,2771
05041,AR,Desha County,4257
05043,AR,Drew County,6595
05045,AR,Faulkner County,47527
05047,AR,Franklin County,6770
05049,AR,Fulton County,4772
05051,AR,Garland County,40805
05053,AR,Grant County,7445
05055,AR,Greene County,14600
05057,AR,Hempstead County,7049
05059,AR,Hot Spring County,11944
05061,AR,Howard County,4674
05063,AR,Independence County,13614
05065,AR,Izard County,5448
05067,AR,Jackson County,5156
05069,AR,Jefferson County,25894
05071,AR,Johnson County,9112
05073,AR,Lafayette County,2860
05075,AR,Lawrence County,5685
05077,AR,Lee County,3026
05079,AR,Lincoln County,3826
05081,AR,Little River County,5227
05083,AR,Logan County,7921
05085,AR,Lonoke County,27100
05087,AR,Madison County,6841
05089,AR,Marion County,7107
05091,AR,Miller County,16091
05093,AR,Mississippi County,13204
05095,AR,Monroe County,2884
05097,AR,Montgomery County,3559
05099,AR,Nevada County,3246
05101,AR,Newton County,3753
05103,AR,Ouachita County,9935
05105,AR,Perry County,4306
05107,AR,Phillips County,6953
05109,AR,Pike County,3981
05111,AR,Poinsett County,7722
05113,AR,Polk County,8231
05115,AR,Pope County,22569
05117,AR,Prairie County,3444
05119,AR,Pulaski County,159776
05121,AR,Randolph County,6379
05123,AR,St. Francis County,7430
05125,AR,Saline County,52100
05127,AR,Scott County,3510
05129,AR,Searcy County,3728
05131,AR,Sebastian County,44637
05133,AR,Sevier County,4562
05135,AR,Sharp County,7249
05137,AR,Stone County,5577
05139,AR,Union County,16894
05141,AR,Van Buren County,7339
05143,AR,Washington County,81861
05145,AR,White County,27999
05147,AR,Woodruff County,2571
05149,AR,Yell County,6439
37001,NC,Alamance County,71157
37003,NC,Alexander County,18271
37005,NC,Alleghany County,5315
37007,NC,Anson County,10545
37009,NC,Ashe County,13424
37011,NC,Avery County,8249
37013,NC,Beaufort County,23938
37015,NC,Bertie County,9347
37017,NC,Bladen County,15897
37019,NC,Brunswick County,68351
37021,NC,Buncombe County,138947
37023,NC,Burke County,38920
37025,NC,Cabarrus County,93289
37027,NC,Caldwell County,36320
37029,NC,Camden County,5006
37031,NC,Carteret County,37781
37033,NC,Caswell County,11070
37035,NC,Catawba County,72351
37037,NC,Chatham County,39849
37039,NC,Cherokee County,14181
37041,NC,Chowan County,7228
37043,NC,Clay County,6010
37045,NC,Cleveland County,44673
37047,NC,Columbus County,23732
37049,NC,Craven County,47001
37051,NC,Cumberland County,127506
37053,NC,Currituck County,12669
37055,NC,Dare County,19609
37057,NC,Davidson County,74856
37059,NC,Davie County,21756
37061,NC,Duplin County,20856
37063,NC,Durham County,156134
37065,NC,Edgecombe County,24886
37067,NC,Forsyth County,178312
37069,NC,Franklin County,30368
37071,NC,Gaston County,96431
37073,NC,Gates County,5392
37075,NC,Graham County,4168
37077,NC,Granville County,27353
37079,NC,Greene County,8095
37081,NC,Guilford County,257405
37083,NC,Halifax County,25167
37085,NC,Harnett County,46065
37087,NC,Haywood County,30727
37089,NC,Henderson County,58176
37091,NC,Hertford County,10186
37093,NC,Hoke County,18230
37095,NC,Hyde County,2304
37097,NC,Iredell County,82567
37099,NC,Jackson County,18713
37101,NC,Johnston County,85909
37103,NC,Jones County,5135
37105,NC,Lee County,25084
37107,NC,Lenoir County,26807
37109,NC,Lincoln County,40023
37111,NC,McDowell County,19875
37113,NC,Macon County,17734
